index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
961,Houston Baptist University,"7502 Fondren Rd, Houston, Texas 77074-3298",www.hbu.edu,"4-year, Private not-for-profit",2564.0,7502 Fondren Rd, Houston,Texas,77074-3298,0,Not-For-Profit,False
962,Houston Graduate School of Theology,"2501 Central Parkway, Suite A19, Houston, Texas 77092-7729",www.hgst.edu,"4-year, Private not-for-profit",236.0,"2501 Central Parkway, Suite A19", Houston,Texas,77092-7729,0,Not-For-Profit,False
963,Howard Payne University,"1000 Fisk St., Brownwood, Texas 76801-2794",www.hputx.edu,"4-year, Private not-for-profit",1388.0,1000 Fisk St., Brownwood,Texas,76801-2794,0,Not-For-Profit,False
964,Howard University,"2400 Sixth St NW, Washington, District of Columbia 20059-0001",www.howard.edu,"4-year, Private not-for-profit",10320.0,2400 Sixth St NW, Washington,Columbia,20059-0001,0,Not-For-Profit,False
965,Humboldt State University,"1 Harpst Street, Arcata, California 95521-8299",www.humboldt.edu,"4-year, Public",7800.0,1 Harpst Street, Arcata,California,95521-8299,0,Not-For-Profit,False
966,Humphreys College-Stockton,"6650 Inglewood Ave, Stockton, California 95207-3896",www.humphreys.edu,"4-year, Private not-for-profit",714.0,6650 Inglewood Ave, Stockton,California,95207-3896,0,Not-For-Profit,False
967,Huntingdon College,"1500 East Fairview Avenue, Montgomery, Alabama 36106-2148",www.huntingdon.edu,"4-year, Private not-for-profit",1082.0,1500 East Fairview Avenue, Montgomery,Alabama,36106-2148,0,Not-For-Profit,False
968,Huntington University,"2303 College Ave, Huntington, Indiana 46750",www.huntington.edu,"4-year, Private not-for-profit",1230.0,2303 College Ave, Huntington,Indiana,46750,0,Not-For-Profit,False
969,Huntsville Bible College,"904 Oakwood Ave, Huntsville, Alabama 35811-1632",www.hbc1.edu,"4-year, primarily associate's, Private not-for-profit",64.0,904 Oakwood Ave, Huntsville,Alabama,35811-1632,1,Not-For-Profit,True
970,Husson University,"One College Circle, Bangor, Maine 04401-2999",www.husson.edu,"4-year, Private not-for-profit",2672.0,One College Circle, Bangor,Maine,04401-2999,0,Not-For-Profit,False
971,Huston-Tillotson University,"900 Chicon St, Austin, Texas 78702-2795",www.htu.edu,"4-year, Private not-for-profit",785.0,900 Chicon St, Austin,Texas,78702-2795,0,Not-For-Profit,False
972,Idaho State University,"921 S 7th Ave, Pocatello, Idaho 83209",www.isu.edu,"4-year, Public",12653.0,921 S 7th Ave, Pocatello,Idaho,83209,0,Not-For-Profit,False
973,IIA College,"4201 Central Ave Nw-Ste J, Albuquerque, New Mexico 87105",www.iia.edu,"4-year, primarily associate's, Private for-profit",160.0,4201 Central Ave Nw-Ste J, Albuquerque,Mexico,87105,1,For-Profit,True
974,IIA College,"5441 E. 22nd St. Ste. 125, Tucson, Arizona 85711-5444",www.iia.edu,"4-year, primarily associate's, Private for-profit",394.0,5441 E. 22nd St. Ste. 125, Tucson,Arizona,85711-5444,1,For-Profit,True
975,IIA College,"4240 W. Bethany Home Rd., Phoenix, Arizona 85019-1600",www.iia.edu,"4-year, primarily associate's, Private for-profit",914.0,4240 W. Bethany Home Rd., Phoenix,Arizona,85019-1600,1,For-Profit,True
